place_id,photo,street_view,logo,has_photo,has_street_view,has_logo,media_completeness_score,logo_status
ChIJRXLy5FTJBZER3lPKDIM2_Gg,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqHtFd-l5xf3-0eZB4TkQY4OGFEQREtkJD8DOS2HmSKkh3FO3sRtF5NLO_5RiwbuOl4K8bCW7N1nLgvEKe1yPkRalmjl-WCiO9Q9U2Fj-ikKQcoKjHwoTdM5Vek_BFJ4WeAt5ilMg=w800-h500-k-no,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqHtFd-l5xf3-0eZB4TkQY4OGFEQREtkJD8DOS2HmSKkh3FO3sRtF5NLO_5RiwbuOl4K8bCW7N1nLgvEKe1yPkRalmjl-WCiO9Q9U2Fj-ikKQcoKjHwoTdM5Vek_BFJ4WeAt5ilMg=w1600-h1000-k-no,NA,TRUE,TRUE,FALSE,2,can_extract_later
ChIJHbWmE0zFBZERzpHMxHI3tJU,NA,NA,https://lh5.googleusercontent.com/-DamgSPP0O2Y/AAAAAAAAAAI/AAAAAAAAAAA/G1vOUw1iF4w/s44-p-k-no-ns-nd/photo.jpg,FALSE,FALSE,TRUE,1,has_logo
ChIJi6uz63eYBZERB8CC3eo9-xM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noMbAnPwMrNU-UAtWpgtZ9SKy46kfz-Cq9kcUI-Ob2Q3FZE0UYFZZFPCVImUIwmyf-0GGJPpVwGOI1AyGO7Y1F0GzCtSm-PZRNly45T6jpLc3wOmRngH4RNqaV-kWoOkeQ8zNkLzg=w800-h500-k-no,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noMbAnPwMrNU-UAtWpgtZ9SKy46kfz-Cq9kcUI-Ob2Q3FZE0UYFZZFPCVImUIwmyf-0GGJPpVwGOI1AyGO7Y1F0GzCtSm-PZRNly45T6jpLc3wOmRngH4RNqaV-kWoOkeQ8zNkLzg=w1600-h1000-k-no,NA,TRUE,TRUE,FALSE,2,can_extract_later
ChIJf-tGXyvFBZERcKfPb9ruO40,https://lh3.googleusercontent.com/p/AF1QipPcH66Gs5nMQ1-8ytErddokw0jeJKbA6BmcMp4=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipPcH66Gs5nMQ1-8ytErddokw0jeJKbA6BmcMp4=w1600-h1000-k-no,https://lh6.googleusercontent.com/-m8Ej_01EK2c/AAAAAAAAAAI/AAAAAAAAAAA/pBpshcyeQi4/s44-p-k-no-ns-nd/photo.jpg,TRUE,TRUE,TRUE,3,has_logo
ChIJ19FlnzW5BZERqD67s4vRqvk,NA,NA,NA,FALSE,FALSE,FALSE,0,missing_logo
ChIJMdRaup_PBZERDM9AVTMzd6w,NA,NA,NA,FALSE,FALSE,FALSE,0,missing_logo
ChIJl7jBoyrPBZER7uggoGyGutA,https://lh3.googleusercontent.com/p/AF1QipMVxNymVTjk6iyoVj9hGJSZQjPWXANlCXEEiD5P=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipMVxNymVTjk6iyoVj9hGJSZQjPWXANlCXEEiD5P=w1600-h1000-k-no,https://lh3.googleusercontent.com/-xYVz0QBedNM/AAAAAAAAAAI/AAAAAAAAAAA/GIOKW6oG8Qs/s44-p-k-no-ns-nd/photo.jpg,TRUE,TRUE,TRUE,3,has_logo
ChIJeYNwkwnIBZER9ksmHYGbEuw,NA,NA,https://lh6.googleusercontent.com/-oKJj919I5yY/AAAAAAAAAAI/AAAAAAAAAAA/rlDl8EJ_iok/s44-p-k-no-ns-nd/photo.jpg,FALSE,FALSE,TRUE,1,has_logo
ChIJkXP02G3JBZERHLuIe0SQAHM,https://lh3.googleusercontent.com/p/AF1QipOwAaj-Qhfx4vpETeJvz8lXPAszmwbbDz57K6bU=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipOwAaj-Qhfx4vpETeJvz8lXPAszmwbbDz57K6bU=w1600-h1000-k-no,https://lh4.googleusercontent.com/-hq8aiGPgxB4/AAAAAAAAAAI/AAAAAAAAAAA/3aksvUphphc/s44-p-k-no-ns-nd/photo.jpg,TRUE,TRUE,TRUE,3,has_logo
ChIJ5fiUf_HHBZERYOsZZA9xFTU,NA,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np-_FZhhOTs9tByPcmq5PQwbYlpfz6q-4ev0mpsxWqPPFDeGADWGmyw_JkQ6pfGJYmfGYfYWKQ4WsjirR1OdpK4rM-JDnRkAnB25S7s6VIYccYSjaP93Q-YN42bDQGbeYGpOkrM=w1600-h1000-k-no,NA,FALSE,TRUE,FALSE,1,missing_logo
ChIJ59fyEPi5BZER8SxRYGoYSio,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrpTlHDb5KviicMNZl41RKsQitkSs2SUWNJi0kEKW-oFk8f6W7lUAaOPn4SG_pUf_AOOClmSwxBe0u5OW_Z53639v7uAWmWJOyxiFeoZodq7ak1AYFyAIBPAs006JEmpv3fI-kwPA=w800-h500-k-no,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrpTlHDb5KviicMNZl41RKsQitkSs2SUWNJi0kEKW-oFk8f6W7lUAaOPn4SG_pUf_AOOClmSwxBe0u5OW_Z53639v7uAWmWJOyxiFeoZodq7ak1AYFyAIBPAs006JEmpv3fI-kwPA=w1600-h1000-k-no,NA,TRUE,TRUE,FALSE,2,can_extract_later
ChIJw5H8H1S4BZER1YkZvEUhdsg,https://lh5.googleusercontent.com/JzB-GtNUdwashsImK6-8tyM4Gza7p4xQNtJHTaBBqVm-LZCTy3BdvYg5OJInOwvN=w800-h500-k-no,NA,NA,TRUE,FALSE,FALSE,1,can_extract_later
ChIJbehiZfDHBZERxD71uXfBsvE,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrfUpp04PXXT8Ef_m4RLBTVX__7R2FZqNZFPpQNIFb6oHE5oLxqKBOqUvsB0LRd6ssjovW5i4OHlyuGffeZJZmNSUitChtNzB_xEmK3Q9Sbip6dM4ucrOEBIaIvxshKz52atW-f=w800-h500-k-no,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrfUpp04PXXT8Ef_m4RLBTVX__7R2FZqNZFPpQNIFb6oHE5oLxqKBOqUvsB0LRd6ssjovW5i4OHlyuGffeZJZmNSUitChtNzB_xEmK3Q9Sbip6dM4ucrOEBIaIvxshKz52atW-f=w1600-h1000-k-no,NA,TRUE,TRUE,FALSE,2,can_extract_later
ChIJe8lhM-zJBZERvsFzVLnwZVE,https://lh3.googleusercontent.com/p/AF1QipPM6MHj2ETgwqtp-KjjYG0b2daWjgn84pEU0T5C=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipPM6MHj2ETgwqtp-KjjYG0b2daWjgn84pEU0T5C=w1600-h1000-k-no,https://lh3.googleusercontent.com/-DUHU9BANLqU/AAAAAAAAAAI/AAAAAAAAAAA/8pTzdSIcVuI/s44-p-k-no-ns-nd/photo.jpg,TRUE,TRUE,TRUE,3,has_logo
ChIJWcjah627BZERr3KaEviXWL4,NA,https://lh3.googleusercontent.com/p/AF1QipNtvm9KbskNneIKGtvVf437esmdzTAbzmbAHDMg=w1600-h1000-k-no,https://lh4.googleusercontent.com/-CLleqKKx5sA/AAAAAAAAAAI/AAAAAAAAAAA/ZZlNnCRIxQk/s44-p-k-no-ns-nd/photo.jpg,FALSE,TRUE,TRUE,2,has_logo
ChIJvxVDJhq5BZERQHmnynp95sg,https://lh3.googleusercontent.com/p/AF1QipPBNepmw6B78nq8pquvfIfj87qCMnKL00xy5PMx=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipPBNepmw6B78nq8pquvfIfj87qCMnKL00xy5PMx=w1600-h1000-k-no,https://lh5.googleusercontent.com/-KLc2pgBU90k/AAAAAAAAAAI/AAAAAAAAAAA/O1r1AwltatI/s44-p-k-no-ns-nd/photo.jpg,TRUE,TRUE,TRUE,3,has_logo
ChIJP096eO_RBZERoalEPIOyesI,NA,NA,https://lh5.googleusercontent.com/-fU-LbhhqplY/AAAAAAAAAAI/AAAAAAAAAAA/NSrZXf0WGik/s44-p-k-no-ns-nd/photo.jpg,FALSE,FALSE,TRUE,1,has_logo
ChIJ_ajXUwDJBZERn-ZfOy2Pt4g,NA,NA,NA,FALSE,FALSE,FALSE,0,missing_logo
ChIJj0IXpKXFBZERJoi_5KYTcYw,NA,https://lh3.googleusercontent.com/p/AF1QipOumGpOA7SR3W7mZ2QAZ1tcGAgiAGvS6nKkB9zw=w1600-h1000-k-no,https://lh6.googleusercontent.com/-zXhHzMNXmhI/AAAAAAAAAAI/AAAAAAAAAAA/mqc2RZV8kOA/s44-p-k-no-ns-nd/photo.jpg,FALSE,TRUE,TRUE,2,has_logo
ChIJQ2fNfwe4BZERh-TrCyDrHOk,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrS0Otlp5iJktZIMoqORktiiO2WCiJBkjY_E6ItQW9usJaSXZpacfzgJEbikLaTbOLTAHtPodCJ8Bra2c5RPm5rqAnXsaw8uzGKqXFv_F_8eSfNJM_a_fO0UOEaGhVdgYRo2E6cndp19Mw7=w800-h500-k-no,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrS0Otlp5iJktZIMoqORktiiO2WCiJBkjY_E6ItQW9usJaSXZpacfzgJEbikLaTbOLTAHtPodCJ8Bra2c5RPm5rqAnXsaw8uzGKqXFv_F_8eSfNJM_a_fO0UOEaGhVdgYRo2E6cndp19Mw7=w1600-h1000-k-no,https://lh3.googleusercontent.com/-FExd25f43Zc/AAAAAAAAAAI/AAAAAAAAAAA/aawKHWv8UXc/s44-p-k-no-ns-nd/photo.jpg,TRUE,TRUE,TRUE,3,has_logo
ChIJlbGtU7_LBZERmVRwOcVZAmg,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrYeru810Uh0_7fUXylpagXkxHWdffq8TlhskQQ_j9d_X5yu_GN_TImpc4orbLsjJ8_b0JYPEXdjOZony6eVRgwwO6Ra-r3rAw4q9LgVmeR1FzeWQIzzhUjXFwUzu308IXHsXBH=w800-h500-k-no,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrYeru810Uh0_7fUXylpagXkxHWdffq8TlhskQQ_j9d_X5yu_GN_TImpc4orbLsjJ8_b0JYPEXdjOZony6eVRgwwO6Ra-r3rAw4q9LgVmeR1FzeWQIzzhUjXFwUzu308IXHsXBH=w1600-h1000-k-no,NA,TRUE,TRUE,FALSE,2,can_extract_later
ChIJf9J7Su7QBZER5OjNsKwQDeI,NA,NA,NA,FALSE,FALSE,FALSE,0,missing_logo
ChIJRWJggGTJBZERQY3h-qj4SOc,https://lh3.googleusercontent.com/p/AF1QipMfpGTlJF7pYR56DqSGHinsPPy2j8paVcEDfrub=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipMfpGTlJF7pYR56DqSGHinsPPy2j8paVcEDfrub=w1600-h1000-k-no,https://lh3.googleusercontent.com/-Cokq0IBoQCE/AAAAAAAAAAI/AAAAAAAAAAA/UgU73kFFEJE/s44-p-k-no-ns-nd/photo.jpg,TRUE,TRUE,TRUE,3,has_logo
ChIJ7SkTjy_vBZERaGwB_oSVhn8,NA,NA,NA,FALSE,FALSE,FALSE,0,missing_logo
ChIJ95fwUFe5BZERNKqeERCzfFI,https://lh3.googleusercontent.com/p/AF1QipMnZFPCAKBDxIGWEPz0hpwluND6HXoazPWNeeto=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipMnZFPCAKBDxIGWEPz0hpwluND6HXoazPWNeeto=w1600-h1000-k-no,https://lh5.googleusercontent.com/-m2i6t3AA3Fg/AAAAAAAAAAI/AAAAAAAAAAA/bsNq9seKgyI/s44-p-k-no-ns-nd/photo.jpg,TRUE,TRUE,TRUE,3,has_logo
ChIJBWk2LFfHBZEReyxW8Pzqrnc,https://lh3.googleusercontent.com/p/AF1QipPK5VeYp9Pc28Xn3t-N_dGPZBHjox2eg3Qzbq8=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipPK5VeYp9Pc28Xn3t-N_dGPZBHjox2eg3Qzbq8=w1600-h1000-k-no,https://lh3.googleusercontent.com/-GeWAjl8wuLE/AAAAAAAAAAI/AAAAAAAAAAA/S1iGjTfNXCc/s44-p-k-no-ns-nd/photo.jpg,TRUE,TRUE,TRUE,3,has_logo
ChIJVxAkJBXHBZERuJ5Z1IzrEPc,https://lh3.googleusercontent.com/p/AF1QipPbtkJxExNOVCEmd_hjJLVewi12u5MmZjQjP5eP=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipPbtkJxExNOVCEmd_hjJLVewi12u5MmZjQjP5eP=w1600-h1000-k-no,https://lh6.googleusercontent.com/-Y4h4g3terlA/AAAAAAAAAAI/AAAAAAAAAAA/shELd9LI19I/s44-p-k-no-ns-nd/photo.jpg,TRUE,TRUE,TRUE,3,has_logo
ChIJeZn4EQDHBZERK-YhvBUA_nI,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noj2fjaOFE81W9VIowCsLYNRotwf7TrMsQijzbeX8BjU_2vY6GwDREv2fd37wBf9a1Ss_NN2uUemfREzeTu-_onFnguzOAFq2v4e-Y-Wqzyy6j61lreLhAi-UG4hHBLvmXnpxv8pxgBO9LT=w800-h500-k-no,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noj2fjaOFE81W9VIowCsLYNRotwf7TrMsQijzbeX8BjU_2vY6GwDREv2fd37wBf9a1Ss_NN2uUemfREzeTu-_onFnguzOAFq2v4e-Y-Wqzyy6j61lreLhAi-UG4hHBLvmXnpxv8pxgBO9LT=w1600-h1000-k-no,NA,TRUE,TRUE,FALSE,2,can_extract_later
ChIJm6XxcgS5BZER8rNsS3pqcIk,https://lh3.googleusercontent.com/p/AF1QipMF0pKTClwpZIkH-Po3BYeyZAiyCa6OC9Q5oE7T=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipMF0pKTClwpZIkH-Po3BYeyZAiyCa6OC9Q5oE7T=w1600-h1000-k-no,https://lh5.googleusercontent.com/-QnsuiOG83wY/AAAAAAAAAAI/AAAAAAAAAAA/ACKOTOogZxc/s44-p-k-no-ns-nd/photo.jpg,TRUE,TRUE,TRUE,3,has_logo
ChIJDYJJFte9BZERJbEyFnQ5e9I,https://lh3.googleusercontent.com/p/AF1QipPigVTeIpSAEjxCM8Ze_Ki6DfzN226R9y3ovWQr=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipPigVTeIpSAEjxCM8Ze_Ki6DfzN226R9y3ovWQr=w1600-h1000-k-no,https://lh4.googleusercontent.com/-pRn9t3feNNw/AAAAAAAAAAI/AAAAAAAAAAA/jiWypVQ5qcM/s44-p-k-no-ns-nd/photo.jpg,TRUE,TRUE,TRUE,3,has_logo
ChIJ4TZ_D_PQBZERuXFy_OVaZUU,NA,NA,NA,FALSE,FALSE,FALSE,0,missing_logo
ChIJdyuWXifRBZERL7akeaIyRfA,NA,NA,https://lh3.googleusercontent.com/-TenNZYmOb1o/AAAAAAAAAAI/AAAAAAAAAAA/Z3FTAdtFYto/s44-p-k-no-ns-nd/photo.jpg,FALSE,FALSE,TRUE,1,has_logo
ChIJoX5d-zW3BZERvLanKo27QSY,https://lh3.googleusercontent.com/p/AF1QipOmOMA9I3eZrv2nXfywQTIdNzYpk5hpchGCRRmV=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipOmOMA9I3eZrv2nXfywQTIdNzYpk5hpchGCRRmV=w1600-h1000-k-no,https://lh4.googleusercontent.com/-X8ZZNxiGihI/AAAAAAAAAAI/AAAAAAAAAAA/thAdn29mE5A/s44-p-k-no-ns-nd/photo.jpg,TRUE,TRUE,TRUE,3,has_logo
ChIJBwYcZrjFBZERCoxUbCbvnRw,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrDcE3dVf_tx5PBa0ymEfJuyFzCgIysB4qb5eep4XJIKzIDdJkZmy6ZG3FTK3Fy9tm3XXV2nuwPkav3lG-nG5aZM32ewBQuc4iuhAnl807Wd1Wy9llU-0vlySa-AXDbkxpGBzJS=w800-h500-k-no,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrDcE3dVf_tx5PBa0ymEfJuyFzCgIysB4qb5eep4XJIKzIDdJkZmy6ZG3FTK3Fy9tm3XXV2nuwPkav3lG-nG5aZM32ewBQuc4iuhAnl807Wd1Wy9llU-0vlySa-AXDbkxpGBzJS=w1600-h1000-k-no,NA,TRUE,TRUE,FALSE,2,can_extract_later
ChIJR5qRsOrIBZERjnI90IPBAfk,NA,NA,NA,FALSE,FALSE,FALSE,0,missing_logo
ChIJeUrtvNnJBZERNyjbCLzob6k,https://lh3.googleusercontent.com/p/AF1QipO46owr3SuyvngXOURt5HL_rajY0pulTdnxvy77=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipO46owr3SuyvngXOURt5HL_rajY0pulTdnxvy77=w1600-h1000-k-no,https://lh6.googleusercontent.com/-APUMoLfFWV0/AAAAAAAAAAI/AAAAAAAAAAA/YsNyY-DxGfo/s44-p-k-no-ns-nd/photo.jpg,TRUE,TRUE,TRUE,3,has_logo
ChIJY5uxEwDHBZERzW87SSNLl4A,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npOn7-ESfqvvR0ZWBwm4RXx3kZ63fPVQPiBcuSknjIbHT1mCoLgL8u6SUNXHqIh2G3q5Pn-dIJ1wV-DqdI3pdpTlAmKpTJVkZK0DnNfNE4ysOWAsw7rfWZcNfU3VV_WqoNinsW9=w800-h500-k-no,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npOn7-ESfqvvR0ZWBwm4RXx3kZ63fPVQPiBcuSknjIbHT1mCoLgL8u6SUNXHqIh2G3q5Pn-dIJ1wV-DqdI3pdpTlAmKpTJVkZK0DnNfNE4ysOWAsw7rfWZcNfU3VV_WqoNinsW9=w1600-h1000-k-no,NA,TRUE,TRUE,FALSE,2,can_extract_later
ChIJQ2RMgsTHBZER5qEcaRKPudY,https://lh3.googleusercontent.com/p/AF1QipNnongFI3vXCCdNTbv7R2fZlNJAF7OeC9BxAgUW=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipNnongFI3vXCCdNTbv7R2fZlNJAF7OeC9BxAgUW=w1600-h1000-k-no,https://lh6.googleusercontent.com/-cc_HxHzYEpo/AAAAAAAAAAI/AAAAAAAAAAA/Y8pj0epCrBA/s44-p-k-no-ns-nd/photo.jpg,TRUE,TRUE,TRUE,3,has_logo
ChIJ2wEqSgLJBZER6Nr2SfsZm_E,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npeAcuz6CeaTxGHi0oh-B9Oedk3hGZtgT5BNp13UI3H-iDZEwyG3dkN4HIN7cmhyruEaHPEFQr0N3yz2gImueF1KPBLcbD3JK6Jd9x6b_wSkYPtQA0oPel4OOfdAhW6QPoXmoQm=w800-h500-k-no,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npeAcuz6CeaTxGHi0oh-B9Oedk3hGZtgT5BNp13UI3H-iDZEwyG3dkN4HIN7cmhyruEaHPEFQr0N3yz2gImueF1KPBLcbD3JK6Jd9x6b_wSkYPtQA0oPel4OOfdAhW6QPoXmoQm=w1600-h1000-k-no,https://lh3.googleusercontent.com/-IM6KnNxVFTE/AAAAAAAAAAI/AAAAAAAAAAA/gaPIoniLDOI/s44-p-k-no-ns-nd/photo.jpg,TRUE,TRUE,TRUE,3,has_logo
ChIJ3ZU-A2-5BZERY2-mnwJImBg,NA,NA,https://lh6.googleusercontent.com/-PHCQmIMlr4s/AAAAAAAAAAI/AAAAAAAAAAA/EAInsBs8TCo/s44-p-k-no-ns-nd/photo.jpg,FALSE,FALSE,TRUE,1,has_logo
ChIJH2ACIMDPBZERfhs_s1bpIRM,https://lh3.googleusercontent.com/p/AF1QipOajIZesTXSNJ2zlyNnv2hcOtAxDq5nlBEt6-Ad=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipPKWvfPSHk33GEMuVtB7RGp_RofrPtp7bRxG8bF=w1600-h1000-k-no,https://lh3.googleusercontent.com/-gBDPQ1DZ-UU/AAAAAAAAAAI/AAAAAAAAAAA/_6tsbNb9nXg/s44-p-k-no-ns-nd/photo.jpg,TRUE,TRUE,TRUE,3,has_logo
ChIJ6fWKZTjHBZERsaEjmGjhWx8,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqKS3y1I09SvRm5boB-Nj5Dy45nzAE_MFKzAgKgdJsq46OJ-PJLwpJLDu1dcW0CH94h-3-hahsGOsuZXPIKrxHBd33jnfzrpM4oGUpaw3rxHWy1V7drtiHbRAziYNfl6-p-jUN2=w800-h500-k-no,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqKS3y1I09SvRm5boB-Nj5Dy45nzAE_MFKzAgKgdJsq46OJ-PJLwpJLDu1dcW0CH94h-3-hahsGOsuZXPIKrxHBd33jnfzrpM4oGUpaw3rxHWy1V7drtiHbRAziYNfl6-p-jUN2=w1600-h1000-k-no,NA,TRUE,TRUE,FALSE,2,can_extract_later
ChIJ65L-5m7FBZERFuWGrOis81s,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrfHNCFXN0jb3eHzQtJAX_4TDWW4WasrX8bOHEyKFnECFsght_X92fLRR4ikm717DEjULLrN5RKhzK5j6Y1_4D3TzxVXVSGKubWCQTpnkn9co8BFrOZfOouAzgFt3D0GgQKDydI=w800-h500-k-no,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrfHNCFXN0jb3eHzQtJAX_4TDWW4WasrX8bOHEyKFnECFsght_X92fLRR4ikm717DEjULLrN5RKhzK5j6Y1_4D3TzxVXVSGKubWCQTpnkn9co8BFrOZfOouAzgFt3D0GgQKDydI=w1600-h1000-k-no,NA,TRUE,TRUE,FALSE,2,can_extract_later
ChIJUYZHwv65BZERZDLI2FygMwc,NA,https://lh3.googleusercontent.com/p/AF1QipPQHVjFsZo-QU8d1jIdrNUdD-gvOAa-Xjc52zUY=w1600-h1000-k-no,https://lh6.googleusercontent.com/-KN81cTnEVLA/AAAAAAAAAAI/AAAAAAAAAAA/hNpFaIj4RVE/s44-p-k-no-ns-nd/photo.jpg,FALSE,TRUE,TRUE,2,has_logo
ChIJcS5KKr_QBZERqHtSYCUJARg,NA,NA,NA,FALSE,FALSE,FALSE,0,missing_logo
ChIJOfOF4ui9BZERNEHtLiFSW_U,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npfCbZ1aWEbJvS8BvMkfC-Ia30c-kUtyn8DgZxDgMSWVX8A7sLWWRTBwaGccM1fZfdV1bATQIkwoudlmBKNwZ6_ux-0ez5Cw0sR9wB1D-108xVgvTVpPDqptTz_D4r5PmbDb873gw=w800-h500-k-no,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npfCbZ1aWEbJvS8BvMkfC-Ia30c-kUtyn8DgZxDgMSWVX8A7sLWWRTBwaGccM1fZfdV1bATQIkwoudlmBKNwZ6_ux-0ez5Cw0sR9wB1D-108xVgvTVpPDqptTz_D4r5PmbDb873gw=w1600-h1000-k-no,NA,TRUE,TRUE,FALSE,2,can_extract_later
ChIJvXw3qH7JBZERLNp_Vfw8XJo,https://lh3.googleusercontent.com/p/AF1QipMSI5_E2JyiqLSe7b-5cf4S9DFMK9MnewwMbUxJ=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipMSI5_E2JyiqLSe7b-5cf4S9DFMK9MnewwMbUxJ=w1600-h1000-k-no,https://lh3.googleusercontent.com/-o8Cg7qPMaQo/AAAAAAAAAAI/AAAAAAAAAAA/sC9rCvr6ANE/s44-p-k-no-ns-nd/photo.jpg,TRUE,TRUE,TRUE,3,has_logo
ChIJza2soSGjBZERGi_K1jWpiCw,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npy6k3kI4gUriSDb-B4XT_2KJAKuQfaog4wxqlCdVK0GCPDPfynw4Xr9UYIu7tYQ6OfTbY2SLd5MUp69Pn5N8M1iPIhvs9BAKmjAYcqMLl5LA-Vabje4jJC5kZhhgR6gZEYMX69=w800-h500-k-no,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npy6k3kI4gUriSDb-B4XT_2KJAKuQfaog4wxqlCdVK0GCPDPfynw4Xr9UYIu7tYQ6OfTbY2SLd5MUp69Pn5N8M1iPIhvs9BAKmjAYcqMLl5LA-Vabje4jJC5kZhhgR6gZEYMX69=w1600-h1000-k-no,https://lh4.googleusercontent.com/-5fZZrK447Tk/AAAAAAAAAAI/AAAAAAAAAAA/FZmiEmTYrc8/s44-p-k-no-ns-nd/photo.jpg,TRUE,TRUE,TRUE,3,has_logo
ChIJ9QBFvzyfBZERfeRaigDBmh8,https://lh3.googleusercontent.com/p/AF1QipOyWM9uXSHb4J229Y9yKYlP6MzGuqPam0Zx3OZ9=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipOyWM9uXSHb4J229Y9yKYlP6MzGuqPam0Zx3OZ9=w1600-h1000-k-no,https://lh6.googleusercontent.com/-DA8ZlKIqL5E/AAAAAAAAAAI/AAAAAAAAAAA/1G11O_5MfDM/s44-p-k-no-ns-nd/photo.jpg,TRUE,TRUE,TRUE,3,has_logo
ChIJ433FgiDOBZER8YkaGFvLvBw,https://lh3.googleusercontent.com/p/AF1QipOQh7ALigS_cc0metqpV6qrYskaq1m2RVPHVNlN=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipOQh7ALigS_cc0metqpV6qrYskaq1m2RVPHVNlN=w1600-h1000-k-no,https://lh3.googleusercontent.com/-MuG2JW2_xW0/AAAAAAAAAAI/AAAAAAAAAAA/m1f0kMJl2QU/s44-p-k-no-ns-nd/photo.jpg,TRUE,TRUE,TRUE,3,has_logo
ChIJpbOPHQDPBZERgNhOqhBdNlI,https://lh3.googleusercontent.com/p/AF1QipPpS8Cup_GivQSHoEe7GImLP3SMQcK33ZuX3ehh=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipPpS8Cup_GivQSHoEe7GImLP3SMQcK33ZuX3ehh=w1600-h1000-k-no,https://lh4.googleusercontent.com/-0FK4CSYUxec/AAAAAAAAAAI/AAAAAAAAAAA/kR3GRBAOQs0/s44-p-k-no-ns-nd/photo.jpg,TRUE,TRUE,TRUE,3,has_logo
ChIJkb7L-yPHBZERvMfhofqs9f0,https://lh3.googleusercontent.com/p/AF1QipMNrumPNLzIyPtMei87NJSV01vKCSvV6cUPv8yK=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipMNrumPNLzIyPtMei87NJSV01vKCSvV6cUPv8yK=w1600-h1000-k-no,https://lh6.googleusercontent.com/-JqppZQXQAgA/AAAAAAAAAAI/AAAAAAAAAAA/rFaqbhuzteI/s44-p-k-no-ns-nd/photo.jpg,TRUE,TRUE,TRUE,3,has_logo
ChIJ_49ZfwC5BZER25WIUu0zge8,https://lh3.googleusercontent.com/p/AF1QipO3eayHH_NrOCP_i_MfgqOv6WdXEzM5UK-uc8qr=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipO3eayHH_NrOCP_i_MfgqOv6WdXEzM5UK-uc8qr=w1600-h1000-k-no,https://lh5.googleusercontent.com/-Cp8wx5m1TLA/AAAAAAAAAAI/AAAAAAAAAAA/Lg-agVYY93U/s44-p-k-no-ns-nd/photo.jpg,TRUE,TRUE,TRUE,3,has_logo
ChIJ_x2r75vJBZERgmBgN_FrDIM,https://lh3.googleusercontent.com/p/AF1QipNIh8jmb1TxMUOBKwmaCn-CkP4j8wtjxvTd4rNL=w800-h500-k-no,https://lh3.googleusercontent.com/p/AF1QipNIh8jmb1TxMUOBKwmaCn-CkP4j8wtjxvTd4rNL=w1600-h1000-k-no,https://lh3.googleusercontent.com/-bfv9KeDYyoQ/AAAAAAAAAAI/AAAAAAAAAAA/kQSDIQJqi44/s44-p-k-no-ns-nd/photo.jpg,TRUE,TRUE,TRUE,3,has_logo
