place_id,Friday_open,Monday_open,Saturday_open,Sunday_open,Thursday_open,Tuesday_open,Wednesday_open,Friday_close,Monday_close,Saturday_close,Sunday_close,Thursday_close,Tuesday_close,Wednesday_close,Friday_closed,Monday_closed,Saturday_closed,Sunday_closed,Thursday_closed,Tuesday_closed,Wednesday_closed,Friday_pattern_flag,Monday_pattern_flag,Saturday_pattern_flag,Sunday_pattern_flag,Thursday_pattern_flag,Tuesday_pattern_flag,Wednesday_pattern_flag
ChIJ-V1U4WiZBZEREqlFW69BUjs,06:00,06:00,NA,NA,06:00,06:00,06:00,22:00,22:00,NA,NA,22:00,22:00,22:00,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,standard,standard,closed,closed,standard,standard,standard
ChIJ-Y9xE8PFBZERYnNQ_wmVuXg,09:00,09:00,00:00,NA,09:00,09:00,09:00,08:30,00:00,13:00,NA,08:30,08:30,08:30,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,standard,standard,standard,closed,standard,standard,standard
ChIJ0-QO8jTRBZERpLcqXjB3Kr4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,missing,missing,missing,missing,missing,missing,missing
ChIJ04_GLCTHBZEROwgIg2JXg7g,06:00,06:00,NA,NA,06:00,06:00,06:00,20:30,20:30,NA,NA,20:30,20:30,20:30,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,standard,standard,closed,closed,standard,standard,standard
ChIJ13qNn8TJBZERWbv_je4pbBw,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,missing,missing,missing,missing,missing,missing,missing
ChIJ148eGJzJBZER-YR5bt1dUDM,08:00,08:00,08:00,08:00,08:00,08:00,08:00,23:00,23:00,22:00,17:00,23:00,23:00,23:00,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,standard,standard,standard,standard,standard,standard,standard
ChIJ19FlnzW5BZERqD67s4vRqvk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,missing,missing,missing,missing,missing,missing,missing
ChIJ1YklegDPBZER1Ibv-FUqkaM,NA,NA,06:00,06:00,06:00,06:00,NA,NA,NA,20:00,20:00,20:00,20:00,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,closed,closed,standard,standard,standard,standard,closed
ChIJ1YpSKgDJBZERKDmUGecW1nQ,06:30,06:30,08:00,NA,06:30,06:30,06:30,19:30,21:30,14:00,NA,19:30,21:30,19:30,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,standard,standard,standard,closed,standard,standard,standard
ChIJ2RQ12Su5BZER7k-Ju-QN95g,07:30,07:30,09:00,NA,07:30,07:30,07:30,20:30,20:30,10:00,NA,20:30,20:30,20:30,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,standard,standard,standard,closed,standard,standard,standard
ChIJ2_uPUwDJBZERQmMjPUSEARI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,missing,missing,missing,missing,missing,missing,missing
ChIJ2badz7rJBZERxHaIC4ApV2Q,06:30,06:00,09:00,NA,06:00,06:00,06:00,22:00,22:00,12:00,NA,22:00,22:00,22:00,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,standard,standard,standard,closed,standard,standard,standard
